"from","to","Weight"
"Cambrai_CAMBR193","St. Gery_CAMBR235","9"
"Cambrai_CAMBR193","Cambrai_CAMBR46","9"
"Cambrai_CAMBR193","Cambrai_CAMBR37","9"
"Cambrai_CAMBR193","Cambrai_CAMBR93","9"
"Cambrai_CAMBR193","Cambrai_CAMBR35","9"
"Cambrai_CAMBR193","Cambrai_CAMBR1233","9"
"Cambrai_CAMBR193","Cambrai_ARS604","9"
"Cambrai_CAMBR193","Cambrai_CAMBR33","9"
"Cambrai_CAMBR193","Cambrai_CAMBR29","9"
"Cambrai_CAMBR193","Cambrai_CAMBR106","9"
"Cambrai_CAMBR193","Cambrai_CAMBR135","9"
"Cambrai_CAMBR193","Cambrai_METZ582","9"
"Cambrai_CAMBR193","Cambrai_CAMBR97","9"
"Cambrai_CAMBR193","Cambrai_CAMBR55","9"
"Cambrai_CAMBR193","Cambrai_CAMBR118","9"
"Cambrai_CAMBR193","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR193","Cambrai_FRFT107","9"
"Cambrai_CAMBR193","St. Gery_CAMBR105","9"
"Cambrai_CAMBR193","St. Gery_CAMBR203","9"
"Cambrai_CAMBR193","Cambrai_BRU2348","9"
"Cambrai_CAMBR193","Cambrai_BN27727","9"
"Cambrai_CAMBR193","Cambrai_GEN361","9"
"Cambrai_CAMBR193","Cambrai_CAMBR6","9"
"Cambrai_CAMBR193","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR193","Cambrai_BN1720","9"
"St. Gery_CAMBR235","Cambrai_CAMBR46","9"
"St. Gery_CAMBR235","Cambrai_CAMBR37","9"
"St. Gery_CAMBR235","Cambrai_CAMBR93","9"
"St. Gery_CAMBR235","Cambrai_CAMBR35","9"
"St. Gery_CAMBR235","Cambrai_CAMBR1233","9"
"St. Gery_CAMBR235","Cambrai_ARS604","9"
"St. Gery_CAMBR235","Cambrai_CAMBR33","9"
"St. Gery_CAMBR235","Cambrai_CAMBR29","9"
"St. Gery_CAMBR235","Cambrai_CAMBR106","9"
"St. Gery_CAMBR235","Cambrai_CAMBR135","9"
"St. Gery_CAMBR235","Cambrai_METZ582","9"
"St. Gery_CAMBR235","Cambrai_CAMBR97","9"
"St. Gery_CAMBR235","Cambrai_CAMBR55","9"
"St. Gery_CAMBR235","Cambrai_CAMBR118","9"
"St. Gery_CAMBR235","Cambrai_CAMBR1343","9"
"St. Gery_CAMBR235","Cambrai_FRFT107","9"
"St. Gery_CAMBR235","St. Gery_CAMBR105","9"
"St. Gery_CAMBR235","St. Gery_CAMBR203","9"
"St. Gery_CAMBR235","Cambrai_BRU2348","9"
"St. Gery_CAMBR235","Cambrai_BN27727","9"
"St. Gery_CAMBR235","Cambrai_GEN361","9"
"St. Gery_CAMBR235","Cambrai_CAMBR6","9"
"St. Gery_CAMBR235","Cambrai_CAMBR1014","9"
"St. Gery_CAMBR235","Cambrai_BN1720","9"
"Cambrai_CAMBR46","Cambrai_CAMBR37","9"
"Cambrai_CAMBR46","Cambrai_CAMBR93","9"
"Cambrai_CAMBR46","Cambrai_CAMBR35","9"
"Cambrai_CAMBR46","Cambrai_CAMBR1233","9"
"Cambrai_CAMBR46","Cambrai_ARS604","9"
"Cambrai_CAMBR46","Cambrai_CAMBR33","9"
"Cambrai_CAMBR46","Cambrai_CAMBR29","9"
"Cambrai_CAMBR46","Cambrai_CAMBR106","9"
"Cambrai_CAMBR46","Cambrai_CAMBR135","9"
"Cambrai_CAMBR46","Cambrai_METZ582","9"
"Cambrai_CAMBR46","Cambrai_CAMBR97","9"
"Cambrai_CAMBR46","Cambrai_CAMBR55","9"
"Cambrai_CAMBR46","Cambrai_CAMBR118","9"
"Cambrai_CAMBR46","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR46","Cambrai_FRFT107","9"
"Cambrai_CAMBR46","St. Gery_CAMBR105","9"
"Cambrai_CAMBR46","St. Gery_CAMBR203","9"
"Cambrai_CAMBR46","Cambrai_BRU2348","9"
"Cambrai_CAMBR46","Cambrai_BN27727","9"
"Cambrai_CAMBR46","Cambrai_GEN361","9"
"Cambrai_CAMBR46","Cambrai_CAMBR6","9"
"Cambrai_CAMBR46","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR46","Cambrai_BN1720","9"
"Cambrai_CAMBR37","Cambrai_CAMBR93","9"
"Cambrai_CAMBR37","Cambrai_CAMBR35","9"
"Cambrai_CAMBR37","Cambrai_CAMBR1233","9"
"Cambrai_CAMBR37","Cambrai_ARS604","9"
"Cambrai_CAMBR37","Cambrai_CAMBR33","9"
"Cambrai_CAMBR37","Cambrai_CAMBR29","9"
"Cambrai_CAMBR37","Cambrai_CAMBR106","9"
"Cambrai_CAMBR37","Cambrai_CAMBR135","9"
"Cambrai_CAMBR37","Cambrai_METZ582","9"
"Cambrai_CAMBR37","Cambrai_CAMBR97","9"
"Cambrai_CAMBR37","Cambrai_CAMBR55","9"
"Cambrai_CAMBR37","Cambrai_CAMBR118","9"
"Cambrai_CAMBR37","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR37","Cambrai_FRFT107","9"
"Cambrai_CAMBR37","St. Gery_CAMBR105","9"
"Cambrai_CAMBR37","St. Gery_CAMBR203","9"
"Cambrai_CAMBR37","Cambrai_BRU2348","9"
"Cambrai_CAMBR37","Cambrai_BN27727","9"
"Cambrai_CAMBR37","Cambrai_GEN361","9"
"Cambrai_CAMBR37","Cambrai_CAMBR6","9"
"Cambrai_CAMBR37","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR37","Cambrai_BN1720","9"
"Cambrai_CAMBR93","Cambrai_CAMBR35","9"
"Cambrai_CAMBR93","Cambrai_CAMBR1233","9"
"Cambrai_CAMBR93","Cambrai_ARS604","9"
"Cambrai_CAMBR93","Cambrai_CAMBR33","9"
"Cambrai_CAMBR93","Cambrai_CAMBR29","9"
"Cambrai_CAMBR93","Cambrai_CAMBR106","9"
"Cambrai_CAMBR93","Cambrai_CAMBR135","9"
"Cambrai_CAMBR93","Cambrai_METZ582","9"
"Cambrai_CAMBR93","Cambrai_CAMBR97","9"
"Cambrai_CAMBR93","Cambrai_CAMBR55","9"
"Cambrai_CAMBR93","Cambrai_CAMBR118","9"
"Cambrai_CAMBR93","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR93","Cambrai_FRFT107","9"
"Cambrai_CAMBR93","St. Gery_CAMBR105","9"
"Cambrai_CAMBR93","St. Gery_CAMBR203","9"
"Cambrai_CAMBR93","Cambrai_BRU2348","9"
"Cambrai_CAMBR93","Cambrai_BN27727","9"
"Cambrai_CAMBR93","Cambrai_GEN361","9"
"Cambrai_CAMBR93","Cambrai_CAMBR6","9"
"Cambrai_CAMBR93","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR93","Cambrai_BN1720","9"
"Cambrai_CAMBR35","Cambrai_CAMBR1233","9"
"Cambrai_CAMBR35","Cambrai_ARS604","9"
"Cambrai_CAMBR35","Cambrai_CAMBR33","9"
"Cambrai_CAMBR35","Cambrai_CAMBR29","9"
"Cambrai_CAMBR35","Cambrai_CAMBR106","9"
"Cambrai_CAMBR35","Cambrai_CAMBR135","9"
"Cambrai_CAMBR35","Cambrai_METZ582","9"
"Cambrai_CAMBR35","Cambrai_CAMBR97","9"
"Cambrai_CAMBR35","Cambrai_CAMBR55","9"
"Cambrai_CAMBR35","Cambrai_CAMBR118","9"
"Cambrai_CAMBR35","Cambrai_CAMBR1343","9"
"Cambrai_CAMBR35","Cambrai_FRFT107","9"
"Cambrai_CAMBR35","St. Gery_CAMBR105","9"
"Cambrai_CAMBR35","St. Gery_CAMBR203","9"
"Cambrai_CAMBR35","Cambrai_BRU2348","9"
"Cambrai_CAMBR35","Cambrai_BN27727","9"
"Cambrai_CAMBR35","Cambrai_GEN361","9"
"Cambrai_CAMBR35","Cambrai_CAMBR6","9"
"Cambrai_CAMBR35","Cambrai_CAMBR1014","9"
"Cambrai_CAMBR35","Cambrai_BN1720","9"
"Cambrai_CAMBR1233","Cambrai_ARS604","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR33","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR29","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR106","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR135","9"
"Cambrai_CAMBR1233","Cambrai_METZ582","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR97","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR55","9"
"Cambrai_CAMBR1233","Cambrai_CAMBR118","9"
